escenario,rep,muestra,timestamp,N_peers,cpu_nodo_pct,mem_nodo_pct,egress_tx_Bps,egress_rx_Bps,pod_cpu_m,pod_mem_Mi,bitrate_Mbps,latencia_g2g_ms,startup_ms,stalls_per_min,notas,,timestamp,sistema,escenario,parametro,repeticion,startup_ms,stalls_count,duracion_s,stalls_per_min,fuente_stalls
E4,1,1,2026-07-05T15:18:34,10,10.01,17.04,1301,51,26,253,6.806,1800,936.8,0,,,2026-07-05T13:28:51.214Z,P1,E4,N=10,1,936.8,0,103.1,0,waiting
E4,1,2,2026-07-05T15:19:04,10,10.11,17.16,1303,51,27,228,6.842,,,,,,,,,,,,,,,
E4,1,3,2026-07-05T15:19:34,10,10.23,17.12,1302,51,27,228,6.791,,,,,,,,,,,,,,,
E4,1,4,2026-07-05T15:20:05,10,10.17,17.12,1303,51,27,255,6.781,,,,,,,,,,,,,,,
E4,1,5,2026-07-05T15:20:35,10,10.02,17.11,1302,51,27,255,6.813,,,,,,,,,,,,,,,
E4,1,6,2026-07-05T15:21:05,10,9.94,17.17,1301,51,27,228,6.759,,,,,,,,,,,,,,,
E4,1,7,2026-07-05T15:21:35,10,10.1,17.34,1301,51,27,228,6.825,,,,,,,,,,,,,,,
E4,1,8,2026-07-05T15:22:05,10,10.42,17.57,1301,51,26,254,6.789,,,,,,,,,,,,,,,
E4,1,9,2026-07-05T15:22:35,10,10.46,17.46,1302,51,26,254,6.806,,,,,,,,,,,,,,,
E4,1,10,2026-07-05T15:23:05,10,10.45,17.23,1301,51,27,227,6.802,,,,,,,,,,,,,,,
E4,1,11,2026-07-05T15:23:36,10,10.23,17.12,1301,51,27,227,6.854,,,,,,,,,,,,,,,
E4,1,12,2026-07-05T15:24:06,10,10.13,17.19,1302,51,27,254,6.75,,,,,,,,,,,,,,,
E4,1,13,2026-07-05T15:24:36,10,10.2,17.16,1302,51,27,254,6.789,,,,,,,,,,,,,,,
E4,1,14,2026-07-05T15:25:06,10,10.23,17.25,1302,51,27,226,6.813,,,,,,,,,,,,,,,
E4,1,15,2026-07-05T15:25:36,10,10.16,17.17,1302,51,27,226,6.763,,,,,,,,,,,,,,,
E4,1,16,2026-07-05T15:26:06,10,10.24,17.76,1302,51,26,254,6.769,,,,,,,,,,,,,,,
E4,1,17,2026-07-05T15:26:37,10,10.46,17.55,1303,51,26,254,6.717,,,,,,,,,,,,,,,
E4,1,18,2026-07-05T15:27:07,10,10.27,17.53,1302,51,26,233,6.789,,,,,,,,,,,,,,,
E4,1,19,2026-07-05T15:27:37,10,10.05,17.34,1302,51,26,233,6.787,,,,,,,,,,,,,,,
E4,1,20,2026-07-05T15:28:07,10,9.52,17.31,1302,51,26,253,6.76,,,,,,,,,,,,,,,
E4,1,21,2026-07-05T15:28:37,10,9.36,17.3,1302,51,26,253,6.816,,,,,,,,,,,,,,,
E4,1,22,2026-07-05T15:29:07,10,9.38,17.4,1303,51,26,228,6.812,,,,,,,,,,,,,,,
