escenario,rep,muestra,timestamp,N_peers,cpu_nodo_pct,mem_nodo_pct,egress_tx_Bps,egress_rx_Bps,pod_cpu_m,pod_mem_Mi,bitrate_Mbps,latencia_g2g_ms,startup_ms,stalls_per_min,notas,,timestamp,sistema,escenario,parametro,repeticion,startup_ms,stalls_count,duracion_s,stalls_per_min,fuente_stalls
E1,1,1,2026-09-01T16:22:26,0,9.5,12.85,1302,51,22,218,6.785,N/A,N/A,N/A,,,N/A,P1,E1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
E1,1,2,2026-09-01T16:22:56,0,9.53,13.09,1303,52,22,218,6.79,N/A,N/A,N/A,,,N/A,P1,E1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
E1,1,3,2026-09-01T16:23:26,0,9.72,13.23,1304,52,23,249,6.788,N/A,N/A,N/A,,,N/A,P1,E1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
E1,1,4,2026-09-01T16:23:57,0,9.74,13.28,1305,51,23,249,6.791,N/A,N/A,N/A,,,N/A,P1,E1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
E2,1,1,2026-09-01T16:38:20,1,12.44,13.95,1307,51,27,215,6.777,13000,102,0,,,2026-09-01T14:38:23.254Z,P1,E2,N=1,1,102,0,93.4,0,waiting
E2,1,2,2026-09-01T16:38:50,1,12.51,14.1,1305,52,27,215,6.778,13000,169,0,,,2026-09-01T14:39:40.427Z,P1,E2,N=1,2,169,0,59.1,0,waiting
E2,1,3,2026-09-01T16:39:20,1,12.61,13.95,1306,53,27,243,6.788,13000,106,0,,,2026-09-01T14:41:09.987Z,P1,E2,N=1,3,106,0,79,0,waiting
E2,1,4,2026-09-01T16:39:51,1,12.6,13.96,1305,51,27,243,6.79,13000,187,0,,,2026-09-01T14:43:31.586Z,P1,E2,N=1,4,187,0,129.4,0,waiting
E2,2,1,2026-09-01T16:51:32,5,11.93,14.47,1306,51,29,239,6.788,12000,171,0,,,2026-09-01T14:52:48.365Z,P1,E2,N=5,1,171,0,69.2,0,waiting
E2,2,2,2026-09-01T16:52:02,5,12.92,14.11,1306,51,29,239,6.768,12000,104,0,,,2026-09-01T14:54:12.899Z,P1,E2,N=5,2,104,0,73.2,0,waiting
E2,2,3,2026-09-01T16:52:32,5,12.91,14.1,1306,51,28,255,6.777,12000,112,0,,,2026-09-01T14:55:39.655Z,P1,E2,N=5,3,112,0,62.5,0,waiting
E2,2,4,2026-09-01T16:53:02,5,12.85,14.11,1306,51,28,255,6.775,12000,105,0,,,2026-09-01T14:58:45.170Z,P1,E2,N=5,4,105,0,170.6,0,waiting
E2,3,1,2026-09-01T17:00:09,10,12.87,14.26,1306,51,27,241,6.788,11000,106,0,,,2026-09-01T15:05:51.179Z,P1,E2,N=10,1,106,0,329.4,0,waiting
E2,3,2,2026-09-01T17:00:39,10,12.97,14.85,1306,51,29,253,6.776,11000,116,0,,,2026-09-01T15:10:05.117Z,P1,E2,N=10,2,116,0,241.6,0,waiting
E2,3,3,2026-09-01T17:01:10,10,12.91,14.2,1306,51,29,253,6.792,11000,162,0,,,2026-09-01T15:14:35.458Z,P1,E2,N=10,3,162,0,260.8,0,waiting
E2,3,4,2026-09-01T17:01:40,10,12.99,14.24,1306,51,28,240,6.786,11000,107,0,,,2026-09-01T15:17:01.414Z,P1,E2,N=10,4,107,0,138.1,0,waiting
E2,4,1,2026-09-01T17:25:12,25,14.04,14.51,1312,51,32,254,6.787,12500,106,0,,,2026-09-01T15:27:54.266Z,P1,E2,N=25,1,106,0,179.2,0,waiting
E2,4,2,2026-09-01T17:25:42,25,14.06,14.04,1310,51,30,235,6.79,12500,133,0,,,2026-09-01T15:29:32.328Z,P1,E2,N=25,2,133,0,186.3,0,waiting
E2,4,3,2026-09-01T17:26:12,25,13.92,14.06,1307,51,30,235,6.773,12500,156,0,,,2026-09-01T15:34:34.293Z,P1,E2,N=25,3,156,0,253.8,0,waiting
E2,4,4,2026-09-01T17:26:43,25,14.04,13.98,1309,51,28,254,6.786,12500,120,0,,,2026-09-01T15:38:12.684Z,P1,E2,N=25,4,120,0,172.1,0,waiting
E3,1,1,2026-09-01T17:39:40,5,13.02,14.35,1309,51,24,235,7.169,14000,763,0,,,2026-09-01T15:41:30.095Z,P1,E3,N=5,1,763,0,135.6,0,waiting
E3,1,2,2026-09-01T17:40:12,5,13.06,14.13,1308,52,24,235,7.216,14000,480,0,,,2026-09-01T15:42:28.039Z,P1,E3,N=5,2,480,0,44.5,0,waiting
E3,1,3,2026-09-01T17:40:44,5,13.19,14.13,1307,51,24,254,7.425,14000,7418,4.62,,,2026-09-01T15:45:11.625Z,P1,E3,N=5,3,7418,12,155.7,4.62,waiting
